"strain" "block" "scaled_mean_worm_length_um_f" "scaled_mean_worm_length_um_m" "mean_worm_length_um_f" "mean_worm_length_um_m" "scaled_SE_f" "scaled_SE_m" "SE_f" "SE_m" "weight_f" "weight_m" "conv" "div" "SE_rotated" "weight_rotated"
"QG3226" "C" -1.02875849836731 -1.19513583737526 853.532667536227 703.745741164881 0.0406514026129287 0.13420076817756 3.10107285176636 5.1066620984008 2.33508322976715 2.6454484231325 -1.91127714089701 -0.225783592649716 0.0991523643536695 101.717072091759
"QG3226" "F" -0.135689413036705 -0.245320612358603 921.660016588379 739.88849560619 0.0712844721021217 0.167670401737928 5.43790194137314 6.38026217887094 0.759387700786376 1.69471429395765 -0.593865784174133 -0.260541595809542 0.128830973724948 60.2503288220246
"QG3227" "G" 0.526908596685945 0.487867423623967 972.205989605601 767.788064328474 0.0607697960459269 0.195721534650114 4.63579489543782 7.44767527348403 1.04490757341579 1.2437470896529 0.403844092617334 -0.306607783221322 0.144913572927555 47.6191754683032
"QG3231" "C" 0.0871192621215898 -0.352249949095375 938.656870061072 735.819577085558 0.0476247512927981 0.203958205471134 3.63303142852076 7.76110041456113 1.70132777870153 1.14532024626706 -0.509976440152751 -0.0244262514042362 0.148099740909136 45.5922895899481
"QG3232" "C" -1.1907668011094 -1.08610796246122 841.173941462789 707.894514111964 0.0369434021117446 0.210974464082695 2.81820980278264 8.02808593491843 2.82735056568426 1.07040842226376 -1.95001104707317 -0.419731005568 0.151451377436077 43.5966927501083
"QG3233" "B" 0.732993165730026 1.23280555772691 987.927052623174 796.134752553415 0.0585703248754697 0.319733968338563 4.46800928666332 12.166646732793 1.12485921006598 0.466049178207547 1.08208842710678 -0.688867106087471 0.229848094907858 18.9285864576196
"QG3235" "A" 1.25831315505699 0.285079344796821 1028.00083735585 760.071490047886 0.0884423599454955 0.331238050472107 6.74678322872672 12.6044047352698 0.493324619323687 0.434239036647374 0.784731101722322 0.362970983519722 0.242425965104082 17.015383174666
"QG3236" "D" -1.29968244123319 -2.24897585535148 832.865363824357 663.644593081609 0.038604420704122 0.188445581763517 2.94491981355757 7.17080776117162 2.58928201531234 1.34164427925088 -2.85596200744965 0.329791954606754 0.136018452027824 54.0510760090902
"QG3237" "G" 0.38943038522155 0.695913690696291 961.718529840903 775.704725322294 0.063370840149282 0.197097739403842 4.83421430379044 7.50004317532946 0.960891838624596 1.22643917944346 0.453207561296065 -0.553421697641749 0.146395666362312 46.6598736399208
"QG3238" "B" 0.360375739422458 0.189969002923351 959.502110049361 756.452312716736 0.068468824246142 0.145575590853517 5.22311158814839 5.53950146753527 0.823128604557137 2.2481856911513 0.0722082394402918 -0.214151553833826 0.113754631874925 77.2790583100519
"QG3239" "D" -2.28276099709076 -1.39316622018385 757.871685260509 696.210208664185 0.0391800717605208 0.139123892302772 2.98883307972668 5.29399881574862 2.51375519018176 2.46153413832313 -2.9527549853244 -0.985342797633387 0.102202092524157 95.7371344764977
"QG3239" "G" 1.33440183179649 1.3857149681978 1033.80522575569 801.953323501588 0.0779315970132673 0.146714708280126 5.94497469358606 5.58284762618318 0.635369381437122 2.21341064074868 1.62281117783618 -0.365828189256217 0.117470292922851 72.4676030207271
"QG3241" "B" -1.68670576244464 -1.53606384061946 803.341474431484 690.772610413892 0.0486719755998234 0.180896509755282 3.7129184351057 6.88354740919253 1.62890398278095 1.455958268352 -2.62643399258975 -0.455590886058927 0.132462274724604 56.9922210840227
"QG3241" "F" -0.711071089990559 -0.492276181443245 877.7672999017 730.491242060182 0.0683923129633909 0.232618019550671 5.21727496145059 8.85167529199808 0.824971321966068 0.880486282815216 -1.18284082268764 -0.497947460684253 0.171447734735923 34.0201713976507
"QG3242" "B" 0.844100083128079 0.432714395913813 996.402790802918 765.689358933235 0.065747062397736 0.3100124919169 5.01548328421427 11.7967211663661 0.892690119980422 0.495736520554412 0.592365903217603 -0.0395694020184671 0.224087506745086 19.9142846654159
"QG3246" "B" 1.09413967166309 1.19058855427871 1015.47694150949 794.528294003702 0.0487862202458579 0.50233842158792 3.72163353341733 19.1151855010205 1.62128397587614 0.188806311947513 1.31138296131589 -0.399471894372683 0.356878120013906 7.85163595528192
"QG3248" "B" -1.29404102341427 -1.29399863211883 833.295716690907 699.98377397412 0.0525757003639556 0.297756275903338 4.01071221609982 11.3303426602203 1.39599319473655 0.53738736890589 -2.1721517943698 -0.345915880277324 0.213802483742104 21.8763321059167
"QG3249" "B" -0.96681465309133 -0.930900913848806 858.258024216989 713.800515719234 0.0460849518149128 0.335656090437318 3.51556856005592 12.7725217851641 1.81691729532075 0.422883011622135 -1.67871016658971 -0.369384906650441 0.239571319059114 17.4232974867289
