outdir,nCO,nHet,sizeHetall,sizeHet_het,nGoutcross,cross,N
output/panelA_N400_nGoutcross7_nloci500,24.722105970895537,59,1.0693037974683546,2.8635593220338986,7,A,400
output/panelA_N400_nGoutcross7_nloci500,26.168795201221265,62,1.3012658227848102,3.3161290322580648,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.57885568076651,54,0.8677215189873418,2.538888888888889,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.330460882176517,55,0.9553797468354431,2.7445454545454546,7,A,400
output/panelA_N400_nGoutcross7_nloci500,26.081683566775883,59,1.2265822784810128,3.284745762711865,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.270475623719587,57,1.2430379746835443,3.4456140350877194,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.307769778305897,67,1.1547468354430381,2.723134328358209,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.68542953396968,57,0.979746835443038,2.7157894736842105,7,A,400
output/panelA_N400_nGoutcross7_nloci500,24.968435647469843,54,1.174367088607595,3.4361111111111113,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.807106285055315,54,1.0962025316455697,3.2074074074074077,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.232600400314066,50,0.933860759493671,2.951,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.264372773391997,56,1.0560126582278482,2.9794642857142857,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.940074738644583,67,1.0924050632911393,2.576119402985075,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.396029905326984,74,1.3180379746835444,2.8141891891891895,7,A,400
output/panelA_N400_nGoutcross7_nloci500,24.943932561349513,60,0.8060126582278482,2.1225,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.71242041914154,68,1.2705696202531647,2.952205882352941,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.878058866435875,57,0.8661392405063292,2.400877192982456,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.060293936987964,58,0.964873417721519,2.6284482758620693,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.506495925237193,64,0.9787974683544304,2.41640625,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.5572435607001,57,0.9537974683544305,2.643859649122807,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.494930282214863,70,1.039240506329114,2.3457142857142856,7,A,400
output/panelA_N400_nGoutcross7_nloci500,26.36254686213164,55,1.1920886075949368,3.424545454545455,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.672347696743415,59,1.084493670886076,2.9042372881355933,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.44441259855652,58,0.904746835443038,2.464655172413793,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.37255089015334,59,1.0082278481012659,2.7,7,A,400
output/panelA_N400_nGoutcross7_nloci500,24.97577479804742,47,0.8518987341772153,2.863829787234043,7,A,400
output/panelA_N400_nGoutcross7_nloci500,24.973049426867313,63,1.1787974683544304,2.9563492063492065,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.250135988982077,66,1.3117088607594938,3.140151515151515,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.94140519788336,54,0.9487341772151899,2.775925925925926,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.597341931714407,71,1.239240506329114,2.7577464788732398,7,A,400
output/panelA_N4000_nGoutcross4_nloci500,21.197478072756653,67,1.1015822784810128,2.597761194029851,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.51143052920093,53,0.8382911392405064,2.499056603773585,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.54869385000964,59,1.04873417721519,2.8084745762711867,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.8343383219216,58,1.0044303797468355,2.736206896551724,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.43491062535076,61,1.1803797468354431,3.057377049180328,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.046944816565585,55,0.9762658227848102,2.8045454545454547,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.50826942922918,62,1.1572784810126584,2.949193548387097,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.074304097421628,59,1.1018987341772153,2.950847457627119,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.11081707441528,63,1.1810126582278482,2.961904761904762,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,22.088598013986775,70,1.3227848101265824,2.9857142857142858,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.182082085818603,61,1.0610759493670887,2.748360655737705,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.911472158640347,67,1.0787974683544304,2.5440298507462686,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.927981913770772,59,1.139873417721519,3.0525423728813563,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.79660595901448,60,1.1724683544303798,3.0875000000000004,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.740018978591735,70,1.2310126582278482,2.778571428571429,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.870372121559527,64,1.1930379746835444,2.9453125,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.105043959513853,58,0.8531645569620254,2.3241379310344827,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.678886548676186,58,1.2857594936708863,3.502586206896552,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.42546974279887,64,1.0132911392405064,2.5015625000000004,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.624173810674534,59,1.0060126582278481,2.69406779661017,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.52945368858233,69,1.3025316455696203,2.982608695652174,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.557691133031067,69,1.2091772151898734,2.768840579710145,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.157912813931514,48,0.9775316455696204,3.2177083333333334,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.4120182766337,57,1.3775316455696203,3.818421052631579,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.120722063250096,62,1.1075949367088609,2.8225806451612905,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.75806804924452,54,0.8126582278481013,2.3777777777777778,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.008425886466412,50,0.8686708860759494,2.745,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.816266540936937,68,1.4436708860759495,3.3544117647058824,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.111264848857907,66,1.0933544303797469,2.6174242424242427,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.52320568706195,51,0.6971518987341773,2.1598039215686278,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.83333957865707,60,1.0572784810126583,2.7841666666666667,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.5193877622024,51,0.7104430379746836,2.200980392156863,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.428148577105798,58,1.1462025316455697,3.1224137931034486,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.767622259328853,57,0.9613924050632912,2.6649122807017545,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.442905477858076,56,0.8841772151898735,2.4946428571428574,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.122686208711674,61,1.0984177215189874,2.845081967213115,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.229445778142086,62,1.224367088607595,3.1201612903225806,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.186800975722065,60,1.2537974683544304,3.3016666666666667,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.100436403597865,72,1.1946202531645571,2.621527777777778,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.167139371983342,68,1.514240506329114,3.5183823529411766,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.79433656931066,69,1.32246835443038,3.0282608695652176,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.28974515278839,56,1.314240506329114,3.7080357142857143,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.568801987879333,61,1.1348101265822785,2.9393442622950823,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.136684817913494,61,1.059493670886076,2.7442622950819673,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.960844754670234,56,0.7873417721518988,2.2214285714285715,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.443188919404452,69,1.039240506329114,2.3797101449275364,4,A,4000
