gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
1.6,1.7000000000000002,0.17254085435846872,569323,II,α&β,arm
1.7000000000000002,1.8,0.1718857743657272,564327,II,α&β,arm
1.8,1.9000000000000001,0.16897528302703493,568534,II,α&β,arm
1.9000000000000001,2,0.1641172509233915,540495,II,α&β,arm
2,2.1,0.15871300764393215,516427,II,α&β,arm
2.1,2.2,0.15665695340131391,573943,II,α&β,arm
2.2,2.3000000000000003,0.15043114214312592,625491,II,α&β,arm
2.3000000000000003,2.4000000000000004,0.15449015574229183,576573,II,α&β,arm
2.4000000000000004,2.5,0.15092175475070596,597437,II,α&β,arm
2.5,2.6,0.14970380934200644,593945,II,α&β,arm
2.6,2.7,0.15311047441887252,635583,II,α&β,arm
2.7,2.8000000000000003,0.15629279778578267,587753,II,α&β,arm
2.8000000000000003,2.9000000000000004,0.15940225272945036,627886,II,α&β,arm
2.9000000000000004,3,0.155784454545532,626059,II,α&β,arm
3,3.1,0.1510228453122317,601580,II,α&β,arm
3.1,3.2,0.14736943915747322,620201,II,α&β,arm
3.2,3.3000000000000003,0.14472437227679763,696549,II,α&β,arm
3.3000000000000003,3.4000000000000004,0.14051763178504337,756551,II,α&β,arm
3.4000000000000004,3.5,0.12572379662029032,824154,II,α&β,arm
3.5,3.6,0.1203301817096771,886969,II,α&β,arm
3.6,3.7,0.12490577885433375,600125,II,α&β,arm
3.7,3.8000000000000003,0.12476371924141169,522885,II,α&β,arm
3.8000000000000003,3.9000000000000004,0.12444356881423817,506635,II,α&β,arm
3.9000000000000004,4,0.12162923593073441,547627,II,α&β,arm
4,4.1000000000000005,0.11316809121319693,548359,II,α&β,arm
4.1000000000000005,4.2,0.11290352595739467,526039,II,α&β,arm
4.2,4.3,0.11059445786379837,534384,II,α&β,arm
4.3,4.4,0.10524376466425556,553367,II,α&β,arm
4.4,4.5,0.10842042710631003,531789,II,α&β,arm
4.5,4.6000000000000005,0.11526602418734587,500700,II,α&β,arm
4.6000000000000005,4.7,0.1124078333206881,471878,II,α&β,arm
4.7,4.800000000000001,0.11253493633607455,494780,II,α&β,arm
4.800000000000001,4.9,0.10847932756370235,498052,II,α&β,arm
4.9,5,0.1084779253028097,469931,II,α&β,arm
0,0.1,0.3710401300265072,25126865,II,α&β,arm&center
0.1,0.2,0.329355763441657,19363543,II,α&β,arm&center
0.2,0.30000000000000004,0.3055426421007278,16146453,II,α&β,arm&center
